1741055786,4f5e130150fc,reverse-proxy-controller-1,4f5e130150fc,0.47%,"896.7MiB / 15.48GiB",5.66%,"25.9MB / 90.4MB","0B / 0B",236
1741055786,82591176414e,reverse-proxy-api-1,82591176414e,0.07%,"82.84MiB / 15.48GiB",0.52%,"311MB / 189MB","0B / 0B",32
1741055799,228d84172da4,reverse-proxy-cache-1,228d84172da4,0.00%,"13.97MiB / 20MiB",69.84%,"1.53kB / 0B","0B / 0B",18
1741055799,bb792a3cdfcc,reverse-proxy-agent-1,bb792a3cdfcc,0.08%,"237MiB / 15.48GiB",1.50%,"369MB / 381MB","0B / 0B",37
1741055799,a08d6941ff5a,reverse-proxy-lb-1,a08d6941ff5a,0.10%,"103.2MiB / 15.48GiB",0.65%,"510MB / 587MB","0B / 0B",39
1741055799,4f5e130150fc,reverse-proxy-controller-1,4f5e130150fc,0.57%,"902.1MiB / 15.48GiB",5.69%,"25.9MB / 90.5MB","0B / 0B",233
1741055799,82591176414e,reverse-proxy-api-1,82591176414e,0.08%,"82.84MiB / 15.48GiB",0.52%,"311MB / 189MB","0B / 0B",32
1741055812,228d84172da4,reverse-proxy-cache-1,228d84172da4,0.00%,"13.97MiB / 20MiB",69.84%,"1.53kB / 0B","0B / 0B",18
1741055812,bb792a3cdfcc,reverse-proxy-agent-1,bb792a3cdfcc,0.10%,"237MiB / 15.48GiB",1.50%,"369MB / 381MB","0B / 0B",37
1741055812,a08d6941ff5a,reverse-proxy-lb-1,a08d6941ff5a,0.22%,"103.2MiB / 15.48GiB",0.65%,"510MB / 587MB","0B / 0B",39
1741055812,4f5e130150fc,reverse-proxy-controller-1,4f5e130150fc,0.67%,"905.7MiB / 15.48GiB",5.71%,"25.9MB / 90.5MB","0B / 0B",233
1741055812,82591176414e,reverse-proxy-api-1,82591176414e,0.08%,"82.84MiB / 15.48GiB",0.52%,"311MB / 189MB","0B / 0B",32
1741055824,228d84172da4,reverse-proxy-cache-1,228d84172da4,0.00%,"13.97MiB / 20MiB",69.84%,"1.53kB / 0B","0B / 0B",18
1741055824,bb792a3cdfcc,reverse-proxy-agent-1,bb792a3cdfcc,0.08%,"237MiB / 15.48GiB",1.50%,"369MB / 381MB","0B / 0B",37
1741055824,a08d6941ff5a,reverse-proxy-lb-1,a08d6941ff5a,0.20%,"103.2MiB / 15.48GiB",0.65%,"510MB / 587MB","0B / 0B",39
1741055824,4f5e130150fc,reverse-proxy-controller-1,4f5e130150fc,0.56%,"907.4MiB / 15.48GiB",5.73%,"25.9MB / 90.5MB","0B / 0B",233
1741055824,82591176414e,reverse-proxy-api-1,82591176414e,0.07%,"82.84MiB / 15.48GiB",0.52%,"311MB / 189MB","0B / 0B",32
1741055837,228d84172da4,reverse-proxy-cache-1,228d84172da4,0.00%,"13.97MiB / 20MiB",69.84%,"1.53kB / 0B","0B / 0B",18
