Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1740728166,539c889625b4,reverse-proxy-api-1,539c889625b4,0.38%,"101.6MiB / 7.637GiB",1.30%,"7.67MB / 5MB","0B / 0B",30
1740728178,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,11.26%,"11.68MiB / 20MiB",58.40%,"441MB / 378MB","0B / 0B",12
1740728178,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,3.08%,"41.28MiB / 7.637GiB",0.53%,"10.4MB / 13.7MB","0B / 0B",37
1740728178,539c889625b4,reverse-proxy-api-1,539c889625b4,93.93%,"112.2MiB / 7.637GiB",1.44%,"7.87MB / 5.11MB","0B / 0B",34
1740728190,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,13.08%,"10.68MiB / 20MiB",53.40%,"447MB / 382MB","0B / 0B",12
1740728190,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.16%,"40.31MiB / 7.637GiB",0.52%,"10.6MB / 13.9MB","0B / 0B",37
1740728190,539c889625b4,reverse-proxy-api-1,539c889625b4,0.27%,"107.7MiB / 7.637GiB",1.38%,"7.94MB / 5.18MB","0B / 0B",35
1740728202,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,30.64%,"10.59MiB / 20MiB",52.95%,"453MB / 388MB","0B / 0B",12
1740728202,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.51%,"40.24MiB / 7.637GiB",0.51%,"10.7MB / 14MB","0B / 0B",37
1740728202,539c889625b4,reverse-proxy-api-1,539c889625b4,32.97%,"103.8MiB / 7.637GiB",1.33%,"8.02MB / 5.24MB","0B / 0B",35
1740728215,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,13.59%,"10.98MiB / 20MiB",54.90%,"459MB / 393MB","0B / 0B",12
1740728215,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.19%,"40.28MiB / 7.637GiB",0.52%,"10.9MB / 14.3MB","0B / 0B",37
1740728215,539c889625b4,reverse-proxy-api-1,539c889625b4,0.35%,"103.4MiB / 7.637GiB",1.32%,"8.17MB / 5.33MB","0B / 0B",30
1740728227,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,11.98%,"13.16MiB / 20MiB",65.78%,"466MB / 399MB","0B / 0B",12
1740728227,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,8.99%,"41.94MiB / 7.637GiB",0.54%,"11.2MB / 14.7MB","0B / 0B",37
1740728227,539c889625b4,reverse-proxy-api-1,539c889625b4,78.50%,"101MiB / 7.637GiB",1.29%,"8.45MB / 5.46MB","0B / 0B",33
1740728239,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,21.55%,"11.48MiB / 20MiB",57.38%,"472MB / 404MB","0B / 0B",12
1740728239,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.75%,"40.91MiB / 7.637GiB",0.52%,"11.3MB / 14.9MB","0B / 0B",37
1740728239,539c889625b4,reverse-proxy-api-1,539c889625b4,9.81%,"109.8MiB / 7.637GiB",1.40%,"8.54MB / 5.56MB","0B / 0B",37
1740728251,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,19.41%,"10.76MiB / 20MiB",53.81%,"479MB / 410MB","0B / 0B",12
1740728251,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.58%,"40.74MiB / 7.637GiB",0.52%,"11.6MB / 15.2MB","0B / 0B",37
1740728251,539c889625b4,reverse-proxy-api-1,539c889625b4,41.62%,"105.5MiB / 7.637GiB",1.35%,"8.7MB / 5.67MB","0B / 0B",30
1740728264,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,35.50%,"10.72MiB / 20MiB",53.59%,"486MB / 416MB","0B / 0B",12
1740728264,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.21%,"40.72MiB / 7.637GiB",0.52%,"11.7MB / 15.4MB","0B / 0B",37
1740728264,539c889625b4,reverse-proxy-api-1,539c889625b4,0.47%,"102MiB / 7.637GiB",1.30%,"8.78MB / 5.73MB","0B / 0B",33
1740728276,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,18.44%,"10.64MiB / 20MiB",53.20%,"494MB / 423MB","0B / 0B",12
