Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1740728656,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.25%,"39.12MiB / 7.637GiB",0.50%,"13.2MB / 17.4MB","0B / 0B",37
1740728656,539c889625b4,reverse-proxy-api-1,539c889625b4,0.30%,"102.8MiB / 7.637GiB",1.31%,"9.97MB / 6.5MB","0B / 0B",55
1740728669,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,8.13%,"10.32MiB / 20MiB",51.58%,"571MB / 489MB","0B / 0B",12
1740728669,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.13%,"38.6MiB / 7.637GiB",0.49%,"13.3MB / 17.5MB","0B / 0B",37
1740728669,539c889625b4,reverse-proxy-api-1,539c889625b4,0.24%,"102.7MiB / 7.637GiB",1.31%,"10MB / 6.52MB","0B / 0B",41
1740728681,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,8.02%,"10.43MiB / 20MiB",52.17%,"575MB / 492MB","0B / 0B",12
1740728681,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.10%,"38.61MiB / 7.637GiB",0.49%,"13.3MB / 17.5MB","0B / 0B",37
1740728681,539c889625b4,reverse-proxy-api-1,539c889625b4,0.18%,"100.6MiB / 7.637GiB",1.29%,"10MB / 6.54MB","0B / 0B",41
1740728693,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,17.17%,"10.3MiB / 20MiB",51.48%,"580MB / 497MB","0B / 0B",12
1740728693,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.20%,"37.75MiB / 7.637GiB",0.48%,"13.4MB / 17.6MB","0B / 0B",37
1740728693,539c889625b4,reverse-proxy-api-1,539c889625b4,0.27%,"98.79MiB / 7.637GiB",1.26%,"10MB / 6.55MB","0B / 0B",22
1740728705,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,19.60%,"10.42MiB / 20MiB",52.11%,"585MB / 501MB","0B / 0B",12
1740728705,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.19%,"37.55MiB / 7.637GiB",0.48%,"13.4MB / 17.6MB","0B / 0B",37
1740728705,539c889625b4,reverse-proxy-api-1,539c889625b4,0.32%,"100.3MiB / 7.637GiB",1.28%,"10.1MB / 6.57MB","0B / 0B",37
1740728717,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,17.44%,"10.34MiB / 20MiB",51.68%,"591MB / 506MB","0B / 0B",12
1740728717,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.18%,"37.55MiB / 7.637GiB",0.48%,"13.4MB / 17.7MB","0B / 0B",37
1740728717,539c889625b4,reverse-proxy-api-1,539c889625b4,0.36%,"101MiB / 7.637GiB",1.29%,"10.1MB / 6.59MB","0B / 0B",35
1740728729,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,8.83%,"10.17MiB / 20MiB",50.86%,"597MB / 511MB","0B / 0B",12
1740728729,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.17%,"37.11MiB / 7.637GiB",0.47%,"13.5MB / 17.7MB","0B / 0B",37
1740728729,539c889625b4,reverse-proxy-api-1,539c889625b4,0.42%,"96.25MiB / 7.637GiB",1.23%,"10.1MB / 6.61MB","0B / 0B",44
1740728742,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,9.31%,"10.03MiB / 20MiB",50.14%,"603MB / 516MB","0B / 0B",12
1740728742,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.16%,"36.07MiB / 7.637GiB",0.46%,"13.6MB / 17.9MB","0B / 0B",37
1740728742,539c889625b4,reverse-proxy-api-1,539c889625b4,0.35%,"95.73MiB / 7.637GiB",1.22%,"10.2MB / 6.66MB","0B / 0B",54
